Invoice Number,Date,Time,Internal Toy ID Number,Toy Item Number,Toy Company,Toy Name,Suggested Age,Price Per Toy,Units Sold,Total Line Revenue,Total COGS,Payment,Cashier ID,Member?,Coupon?,Purchaser Age,Parking Validation?
655731,9/5/2010,18:17,D254/FE,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Visa,Z.T.|880-7477,No,Yes,31,No
655768,9/12/2010,14:41,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,$9.95 ,1,$9.95 ,$4.48 ,Mastercard,H.B.|880-3254,No,No,40,No
655793,9/12/2010,17:33,D255/FE,192,Duplo,Policemen,6 and up,$9.95 ,3,$29.85 ,$15.51 ,Cash,A.U.|880-2167,Yes,Yes,48,No
655793,9/12/2010,17:33,D254/FE,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Cash,A.U.|880-2167,Yes,Yes,48,No
655833,9/21/2010,18:36,L195/AE,195,Lego,Airplane,8 and up,$5.95 ,2,$11.90 ,$6.18 ,Discover,H.B.|880-3254,No,No,32,Yes
655833,9/21/2010,18:36,D250/AT,192,Duplo,Policemen,6 and up,$9.95 ,2,$19.90 ,$10.34 ,Discover,H.B.|880-3254,No,No,32,Yes
655842,10/4/2010,13:49,D250/AT,192,Duplo,Policemen,6 and up,$9.95 ,2,$19.90 ,$10.34 ,Cash,D.W.|880-7199,No,No,44,No
655845,10/14/2010,20:37,L195/AE,195,Lego,Airplane,8 and up,$5.95 ,1,$5.95 ,$3.09 ,Mastercard,N.C.|880-3850,No,No,34,No
655894,10/16/2010,16:01,D255/FE,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Discover,D.S.|880-7532,No,No,40,No
655933,10/16/2010,10:30,L195/AE,195,Lego,Airplane,8 and up,$5.95 ,2,$11.90 ,$6.18 ,Cash,U.W.|880-9683,No,No,31,No
655965,10/21/2010,11:27,L196/AR,196,Lego,Antique Car,8 and up,$7.95 ,2,$15.90 ,$8.90 ,Visa,W.C.|880-4861,No,No,45,No
655965,10/21/2010,11:27,D254/FE,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Visa,W.C.|880-4861,No,No,45,No
655976,11/1/2010,8:55,D250/AT,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Check,D.W.|880-7199,No,No,34,No
656007,11/1/2010,20:07,D254/FE,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Mastercard,Z.T.|880-7477,No,No,43,No
656032,11/1/2010,19:55,L194/FY,194,Lego,Family,4 and up,$14.95 ,1,$14.95 ,$8.37 ,Visa,W.B.|880-9647,No,No,43,No
656032,11/1/2010,19:55,D254/FE,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Visa,W.B.|880-9647,No,No,43,No
656077,11/2/2010,19:21,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,$9.95 ,1,$9.95 ,$4.48 ,Cash,U.W.|880-9683,Yes,No,37,No
656123,11/2/2010,15:27,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,$9.95 ,1,$9.95 ,$4.48 ,Gift Card,V.W.|880-8599,No,Yes,38,Yes
656125,11/2/2010,11:49,D250/AT,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Cash,U.O.|880-3720,No,No,37,No
656125,11/2/2010,11:49,L195/AE,195,Lego,Airplane,8 and up,$5.95 ,1,$5.95 ,$3.09 ,Cash,U.O.|880-3720,No,No,37,No
656171,11/2/2010,15:14,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,$9.95 ,3,$29.85 ,$13.44 ,Visa,S.V.|880-5987,No,No,50,No
656171,11/2/2010,15:14,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,$9.95 ,1,$9.95 ,$4.48 ,Visa,S.V.|880-5987,No,No,50,No
656207,11/2/2010,13:25,D255/FE,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Cash,N.C.|880-3850,No,No,50,No
656246,11/2/2010,10:59,L195/AE,195,Lego,Airplane,8 and up,$5.95 ,1,$5.95 ,$3.09 ,Visa,A.U.|880-2167,No,Yes,43,No
656246,11/2/2010,10:59,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,$9.95 ,1,$9.95 ,$4.48 ,Visa,A.U.|880-2167,No,Yes,43,No
656287,11/3/2010,15:33,D255/FE,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Check,C.X.|880-3590,No,No,43,No
656300,11/3/2010,17:16,D255/FE,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Cash,N.C.|880-3850,No,No,27,No
656314,11/3/2010,12:48,D255/FE,192,Duplo,Policemen,6 and up,$9.95 ,4,$39.80 ,$20.68 ,Visa,D.S.|880-7532,No,Yes,26,No
656314,11/3/2010,12:48,L195/AE,195,Lego,Airplane,8 and up,$5.95 ,5,$29.75 ,$15.45 ,Visa,D.S.|880-7532,No,Yes,26,No
656314,11/3/2010,12:48,L195/AE,195,Lego,Airplane,8 and up,$5.95 ,1,$5.95 ,$3.09 ,Visa,D.S.|880-7532,No,Yes,26,No
656364,11/4/2010,16:56,L195/AE,195,Lego,Airplane,8 and up,$5.95 ,1,$5.95 ,$3.09 ,Visa,C.X.|880-3590,No,No,38,Yes
656380,11/5/2010,15:40,D250/AT,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Cash,Z.T.|880-7477,No,No,29,No
656416,11/5/2010,16:06,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,$9.95 ,4,$39.80 ,$17.92 ,Cash,C.X.|880-3590,Yes,No,14,No
656416,11/5/2010,16:06,D254/FE,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Cash,C.X.|880-3590,Yes,No,14,No
656444,11/5/2010,15:19,D250/AT,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Cash,B.Y.|880-6845,No,Yes,44,Yes
656478,11/5/2010,20:51,L195/AE,195,Lego,Airplane,8 and up,$5.95 ,1,$5.95 ,$3.09 ,Visa,W.B.|880-9647,No,Yes,32,No
656495,11/5/2010,13:37,L195/AE,195,Lego,Airplane,8 and up,$5.95 ,2,$11.90 ,$6.18 ,Check,D.U.|880-2953,No,No,30,No
656518,11/5/2010,13:12,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,$9.95 ,1,$9.95 ,$4.48 ,Visa,B.B.|880-9330,No,No,19,No
656533,11/5/2010,11:01,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,$9.95 ,1,$9.95 ,$4.48 ,Cash,V.W.|880-4523,No,No,50,No
656547,11/6/2010,20:00,L195/AE,195,Lego,Airplane,8 and up,$5.95 ,2,$11.90 ,$6.18 ,Visa,D.U.|880-2953,Yes,No,11,No
656588,11/6/2010,13:24,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,$9.95 ,1,$9.95 ,$4.48 ,Visa,H.B.|880-3254,Yes,Yes,41,Yes
656617,11/6/2010,10:52,D250/AT,192,Duplo,Policemen,6 and up,$9.95 ,2,$19.90 ,$10.34 ,Visa,A.U.|880-2167,No,No,38,No
656617,11/6/2010,10:52,D255/FE,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Visa,A.U.|880-2167,No,No,38,No
656628,11/6/2010,10:15,L330/GN,330,Lego,Gas Station,8 and up,$32.95 ,1,$32.95 ,$19.11 ,Discover,U.O.|880-3720,No,No,37,No
656637,11/6/2010,11:00,D254/FE,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Visa,B.Y.|880-6845,No,No,30,No
656648,11/6/2010,13:24,L195/AE,195,Lego,Airplane,8 and up,$5.95 ,1,$5.95 ,$3.09 ,Visa,W.B.|880-9647,No,No,11,No
656657,11/6/2010,15:04,D254/FE,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Cash,U.W.|880-9683,No,No,22,No
656657,11/6/2010,15:04,L212/SD,212,Lego,Scooter and Stand,6 and up,$4.95 ,1,$4.95 ,$2.23 ,Cash,U.W.|880-9683,No,No,22,No
656657,11/6/2010,15:04,D218/FN,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Cash,U.W.|880-9683,No,No,22,No
656671,11/7/2010,13:21,D255/FE,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Gift Card,S.V.|880-5987,No,No,37,No
656692,11/8/2010,15:22,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,$9.95 ,1,$9.95 ,$4.48 ,Visa,L.W.|880-4986,No,No,11,No
656737,11/8/2010,19:04,D250/AT,192,Duplo,Policemen,6 and up,$9.95 ,2,$19.90 ,$10.34 ,Visa,D.S.|880-7532,No,No,40,No
656757,11/8/2010,9:24,D255/FE,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Cash,S.Y.|880-3139,No,No,36,Yes
656757,11/8/2010,9:24,D254/FE,192,Duplo,Policemen,6 and up,$9.95 ,2,$19.90 ,$10.34 ,Cash,S.Y.|880-3139,No,No,36,Yes
656770,11/9/2010,14:56,D255/FE,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Mastercard,H.B.|880-3254,No,No,66,No
656807,11/10/2010,11:28,L210/CS,210,Lego,Cowboys with Horses,6 and up,$9.45 ,1,$9.45 ,$4.63 ,Visa,P.N.|880-3021,No,No,48,No
656822,11/10/2010,8:07,D254/FE,192,Duplo,Policemen,6 and up,$9.95 ,2,$19.90 ,$10.34 ,Mastercard,B.B.|880-9330,No,No,57,No
656847,11/10/2010,12:25,D198/LX,192,Duplo,Policemen,6 and up,$9.95 ,2,$19.90 ,$10.34 ,Visa,S.Y.|880-3139,Yes,No,38,No
656854,11/10/2010,11:12,L195/AE,195,Lego,Airplane,8 and up,$5.95 ,1,$5.95 ,$3.09 ,Mastercard,V.W.|880-4523,No,Yes,31,No
656893,11/10/2010,15:20,L212/SD,212,Lego,Scooter and Stand,6 and up,$4.95 ,1,$4.95 ,$2.23 ,Visa,U.O.|880-3720,No,No,45,No
656931,11/11/2010,9:09,D254/FE,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Visa,A.U.|880-2167,No,No,30,No
656952,11/11/2010,11:40,L195/AE,195,Lego,Airplane,8 and up,$5.95 ,3,$17.85 ,$9.27 ,Cash,N.C.|880-3850,No,No,38,No
656956,11/11/2010,12:48,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,$9.95 ,1,$9.95 ,$4.48 ,Mastercard,V.W.|880-8599,No,No,24,No
656991,11/11/2010,15:47,D255/FE,192,Duplo,Policemen,6 and up,$9.95 ,4,$39.80 ,$20.68 ,Visa,V.W.|880-4523,No,Yes,43,No
656991,11/11/2010,15:47,D198/LX,192,Duplo,Policemen,6 and up,$9.95 ,2,$19.90 ,$10.34 ,Visa,V.W.|880-4523,No,Yes,43,No
657009,11/11/2010,12:02,D255/FE,192,Duplo,Policemen,6 and up,$9.95 ,2,$19.90 ,$10.34 ,Cash,V.W.|880-8599,No,No,36,No
657052,11/11/2010,19:45,D254/FE,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Check,B.B.|880-9330,No,Yes,34,Yes
657052,11/11/2010,19:45,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,$9.95 ,1,$9.95 ,$4.48 ,Check,B.B.|880-9330,No,Yes,34,Yes
657055,11/12/2010,11:37,D250/AT,192,Duplo,Policemen,6 and up,$9.95 ,2,$19.90 ,$10.34 ,Check,D.S.|880-7532,No,No,36,No
657055,11/12/2010,11:37,D250/AT,192,Duplo,Policemen,6 and up,$9.95 ,2,$19.90 ,$10.34 ,Check,D.S.|880-7532,No,No,36,No
657055,11/12/2010,11:37,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,$9.95 ,1,$9.95 ,$4.48 ,Check,D.S.|880-7532,No,No,36,No
657093,11/12/2010,13:33,D250/AT,192,Duplo,Policemen,6 and up,$9.95 ,5,$49.75 ,$25.85 ,Visa,Y.P.|880-6894,Yes,No,31,Yes
657101,11/13/2010,9:53,L195/AE,195,Lego,Airplane,8 and up,$5.95 ,1,$5.95 ,$3.09 ,Gift Card,Z.T.|880-7477,Yes,No,41,Yes
657140,11/13/2010,16:50,L340/FS,340,Lego,Fire Trucks,6 and up,$34.95 ,2,$69.90 ,$39.84 ,Visa,B.Y.|880-6845,No,No,34,No
657140,11/13/2010,16:50,D255/FE,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Visa,B.Y.|880-6845,No,No,34,No
657187,11/13/2010,10:39,D250/AT,192,Duplo,Policemen,6 and up,$9.95 ,2,$19.90 ,$10.34 ,Gift Card,Z.Q.|880-4240,No,No,31,Yes
657232,11/13/2010,20:11,L195/AE,195,Lego,Airplane,8 and up,$5.95 ,3,$17.85 ,$9.27 ,Visa,C.X.|880-3590,No,No,31,Yes
657255,11/14/2010,17:18,D254/FE,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Check,U.O.|880-3720,No,No,27,Yes
657291,11/14/2010,12:37,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,$9.95 ,1,$9.95 ,$4.48 ,Cash,Z.T.|880-7477,No,No,49,No
657306,11/14/2010,9:50,D254/FE,192,Duplo,Policemen,6 and up,$9.95 ,4,$39.80 ,$20.68 ,Visa,N.C.|880-3850,No,No,69,Yes
657316,11/15/2010,16:45,L252/LR,255,Duplo,Farming Scene,7 and up,$24.95 ,1,$24.95 ,$16.22 ,Mastercard,P.N.|880-3021,No,No,20,No
657320,11/15/2010,8:24,D250/AT,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Mastercard,B.X.|880-9149,No,No,30,Yes
657336,11/15/2010,8:29,D255/FE,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Mastercard,H.B.|880-3254,No,No,37,Yes
657336,11/15/2010,8:29,D250/AT,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Mastercard,H.B.|880-3254,No,No,37,Yes
657366,11/16/2010,8:44,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,$9.95 ,2,$19.90 ,$8.96 ,Mastercard,B.X.|880-9149,No,No,42,No
657415,11/16/2010,11:59,D250/AT,192,Duplo,Policemen,6 and up,$9.95 ,2,$19.90 ,$10.34 ,Visa,S.V.|880-5987,No,No,41,Yes
657415,11/16/2010,11:59,D255/FE,192,Duplo,Policemen,6 and up,$9.95 ,2,$19.90 ,$10.34 ,Visa,S.V.|880-5987,No,No,41,Yes
657447,11/17/2010,13:42,L195/AE,195,Lego,Airplane,8 and up,$5.95 ,4,$23.80 ,$12.36 ,Mastercard,L.W.|880-4986,No,Yes,40,Yes
657482,11/17/2010,10:13,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,$9.95 ,2,$19.90 ,$8.96 ,Discover,D.W.|880-7199,No,No,39,Yes
657512,11/17/2010,11:34,D192/PN,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Cash,N.C.|880-3850,No,No,31,No
657529,11/17/2010,15:44,D255/FE,192,Duplo,Policemen,6 and up,$9.95 ,5,$49.75 ,$25.85 ,Mastercard,B.Y.|880-6845,No,No,40,No
657533,11/17/2010,16:32,D254/FE,192,Duplo,Policemen,6 and up,$9.95 ,2,$19.90 ,$10.34 ,Mastercard,B.B.|880-9330,Yes,No,38,No
657533,11/17/2010,16:32,L195/AE,195,Lego,Airplane,8 and up,$5.95 ,3,$17.85 ,$9.27 ,Mastercard,B.B.|880-9330,Yes,No,38,No
657533,11/17/2010,16:32,D254/FE,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Mastercard,B.B.|880-9330,Yes,No,38,No
657563,11/17/2010,13:18,L256/PE,256,Lego,Police Officers and Motorcycle,9 and up,$9.95 ,1,$9.95 ,$4.48 ,Visa,D.W.|880-7199,No,No,25,No
657591,11/18/2010,19:45,L194/FY,194,Lego,Family,4 and up,$14.95 ,1,$14.95 ,$8.37 ,Visa,W.C.|880-4861,No,No,26,No
657607,11/18/2010,13:44,D250/AT,192,Duplo,Policemen,6 and up,$9.95 ,2,$19.90 ,$10.34 ,Visa,D.S.|880-7532,Yes,No,44,No
657635,11/18/2010,13:05,D255/FE,192,Duplo,Policemen,6 and up,$9.95 ,1,$9.95 ,$5.17 ,Cash,D.U.|880-2953,No,No,50,No
657663,11/19/2010,14:05,L330/GN,330,Lego,Gas Station,8 and up,$32.95 ,4,$131.80 ,$76.44 ,Visa,D.W.|880-7199,No,No,28,No
657663,11/19/2010,14:05,D255/FE,192,Duplo,Policemen,6 and up,$9.95 ,5,$49.75 ,$25.85 ,Visa,D.W.|880-7199,No,No,28,No
657686,11/19/2010,12:06,L195/AE,195,Lego,Airplane,8 and up,$5.95 ,2,$11.90 ,$6.18 ,Mastercard,S.Y.|880-3139,No,No,60,No
